,Date,Location,Site,PitID,latitude,longitude
201,2020-01-08,Fraser,JPL #2,COFEJ2,39.90609,-105.88086
202,2020-01-19,Fraser,JPL #2,COFEJ2,39.90613,-105.88254
203,2020-02-05,Fraser,JPL #2,COFEJ2,39.90612,-105.88252
204,2020-02-10,Fraser,JPL #2,COFEJ2,39.90611,-105.88254
205,2020-02-21,Fraser,JPL #2,COFEJ2,39.9061,-105.88254
206,2020-03-04,Fraser,JPL #2,COFEJ2,39.90609,-105.88253
207,2020-03-11,Fraser,JPL #2,COFEJ2,39.90609,-105.88253
208,2020-03-18,Fraser,JPL #2,COFEJ2,39.90609,-105.88253
209,2020-02-26,Fraser,SNB #1,COFEB1,39.90699,-105.87785
210,2020-01-31,Fraser,SNB #1,COFEB1,39.90701,-105.87783
211,2020-02-05,Fraser,SNB #1,COFEB1,39.90699,-105.87791
212,2020-02-12,Fraser,SNB #1,COFEB1,39.90704,-105.87755
213,2020-02-21,Fraser,SNB #1,COFEB1,39.90696,-105.87783
214,2020-03-11,Fraser,SNB #1,COFEB1,39.90696,-105.87777
215,2019-12-19,Fraser,SNB #1,COFEB1,39.90692,-105.87789
216,2020-03-04,Fraser,SNB #1,COFEB1,39.90699,-105.87785
217,2020-01-31,Fraser,SNB #2,COFEB2,39.90705,-105.87907
218,2020-02-05,Fraser,SNB #2,COFEB2,39.90703,-105.87904
219,2020-02-21,Fraser,SNB #2,COFEB2,39.90705,-105.87901
220,2019-12-19,Fraser,SNB #2,COFEB2,39.90701,-105.87904
221,2020-02-12,Fraser,SNB #2,COFEB2,39.90704,-105.87903
222,2020-02-26,Fraser,SNB #2,COFEB2,39.907,-105.87907
223,2019-12-18,Cameron Pass,Michigan River,COCPMR,40.51868,-105.89193
224,2020-01-24,Cameron Pass,Michigan River,COCPMR,40.51868,-105.89192
225,2020-01-31,Cameron Pass,Michigan River,COCPMR,40.51866,-105.89188
226,2020-02-12,Cameron Pass,Michigan River,COCPMR,40.51858,-105.89193
227,2020-02-19,Cameron Pass,Michigan River,COCPMR,40.51869,-105.89199
228,2020-02-26,Cameron Pass,Michigan River,COCPMR,40.52035,-105.89326
229,2020-03-04,Cameron Pass,Michigan River,COCPMR,40.51872,-105.89224
230,2020-03-11,Cameron Pass,Michigan River,COCPMR,40.51857,-105.89189
231,2019-12-18,Cameron Pass,Joe Wright,COCPJW,40.52401,-105.89342
232,2020-01-31,Cameron Pass,Joe Wright,COCPJW,40.52408,-105.89345
233,2020-02-12,Cameron Pass,Joe Wright,COCPJW,40.52394,-105.89346
234,2020-02-19,Cameron Pass,Joe Wright,COCPJW,40.52408,-105.89345
235,2020-02-26,Cameron Pass,Joe Wright,COCPJW,40.52412,-105.8935
236,2020-03-04,Cameron Pass,Joe Wright,COCPJW,40.52412,-105.89348
237,2020-03-11,Cameron Pass,Joe Wright,COCPJW,40.52038,-105.89327
238,2020-01-24,Cameron Pass,Joe Wright,COCPJW,40.52406,-105.89342
239,2020-01-24,Mammoth Lakes,Panorama Dome,CAMLPD,37.61966,-119.00027
240,2020-02-05,Mammoth Lakes,Panorama Dome,CAMLPD,37.61964,-119.00027
241,2020-02-19,Mammoth Lakes,Panorama Dome,CAMLPD,37.61959,-119.00027
242,2020-01-29,Mammoth Lakes,Panorama Dome,CAMLPD,37.61965,-119.0003
243,2020-02-12,Mammoth Lakes,Panorama Dome,CAMLPD,37.61964,-119.00027
244,2019-12-18,Mammoth Lakes,Panorama Dome,CAMLPD,37.61965,-119.00034
245,2020-01-29,Mammoth Lakes,CUES Study Plot,CAMLCP,37.64328,-119.02908
246,2020-02-06,Mammoth Lakes,CUES Study Plot,CAMLCP,37.64326,-119.02908
247,2020-02-12,Mammoth Lakes,CUES Study Plot,CAMLCP,37.64325,-119.02907
248,2020-02-19,Mammoth Lakes,CUES Study Plot,CAMLCP,37.64326,-119.02905
249,2020-02-26,Mammoth Lakes,CUES Study Plot,CAMLCP,37.64319,-119.02902
250,2020-03-04,Mammoth Lakes,CUES Study Plot,CAMLCP,37.64319,-119.02905
251,2019-12-18,Mammoth Lakes,CUES Study Plot,CAMLCP,37.64327,-119.02907
252,2020-03-11,Mammoth Lakes,CUES Study Plot,CAMLCP,37.64319,-119.02905
253,2020-01-22,Mammoth Lakes,CUES Study Plot,CAMLCP,37.64329,-119.0291
254,2019-12-18,East River,Gothic,COERGT,38.95931,-106.99044
255,2020-01-17,East River,Gothic,COERGT,38.95931,-106.99049
256,2020-01-24,East River,Gothic,COERGT,38.95925,-106.99035
257,2020-01-29,East River,Gothic,COERGT,38.95929,-106.99051
258,2020-02-05,East River,Gothic,COERGT,38.95917,-106.99057
259,2020-02-12,East River,Gothic,COERGT,38.95924,-106.99063
260,2020-02-19,East River,Gothic,COERGT,38.95924,-106.99063
261,2020-02-26,East River,Gothic,COERGT,38.95924,-106.99063
262,2020-03-11,East River,Gothic,COERGT,38.95924,-106.99049
