,Date,Location,Site,PitID,UTME,UTMN,UTMzone
162,1/29/20,Jemez River,BA Flux Tower,NMJRBA,361743,3972676,13
163,2/5/20,Jemez River,BA Flux Tower,NMJRBA,361739,3972679,13
164,2/12/20,Jemez River,BA Flux Tower,NMJRBA,361744,3972675,13
165,2/20/20,Jemez River,BA Flux Tower,NMJRBA,361736,3972673,13
166,2/26/20,Jemez River,BA Flux Tower,NMJRBA,361736,3972673,13
167,3/4/20,Jemez River,BA Flux Tower,NMJRBA,361734,3972677,13
168,12/20/19,Jemez River,Headquarters Met Station,NMJRHQ,362630,3969259,13
169,1/22/20,Jemez River,Headquarters Met Station,NMJRHQ,362630,3969259,13
170,1/29/20,Jemez River,Headquarters Met Station,NMJRHQ,362631,3969256,13
171,2/5/20,Jemez River,Headquarters Met Station,NMJRHQ,362631,3969255,13
172,2/12/20,Jemez River,Headquarters Met Station,NMJRHQ,362633,3969255,13
173,2/20/20,Jemez River,Headquarters Met Station,NMJRHQ,362633,3969258,13
174,2/26/20,Jemez River,Headquarters Met Station,NMJRHQ,362633,3969258,13
175,3/4/20,Jemez River,Headquarters Met Station,NMJRHQ,362634,3969284,13
176,1/24/20,Little Cottonwood,Alta Collins Study Plot,UTLCAC,446677,4491448,12
177,1/31/20,Little Cottonwood,Alta Collins Study Plot,UTLCAC,446677,4491448,12
178,2/13/20,Little Cottonwood,Alta Collins Study Plot,UTLCAC,446677,4491448,12
179,2/20/20,Little Cottonwood,Alta Collins Study Plot,UTLCAC,446677,4491448,12
180,2/27/20,Little Cottonwood,Alta Collins Study Plot,UTLCAC,446677,4491448,12
181,3/5/20,Little Cottonwood,Alta Collins Study Plot,UTLCAC,446677,4491448,12
182,3/12/20,Little Cottonwood,Alta Collins Study Plot,UTLCAC,446677,4491448,12
183,1/24/20,Little Cottonwood,Atwater Study Plot,UTLCAW,446048,4493579,12
184,1/31/20,Little Cottonwood,Atwater Study Plot,UTLCAW,446048,4493579,12
185,2/13/20,Little Cottonwood,Atwater Study Plot,UTLCAW,446048,4493579,12
186,2/20/20,Little Cottonwood,Atwater Study Plot,UTLCAW,446048,4493579,12
187,2/27/20,Little Cottonwood,Atwater Study Plot,UTLCAW,446048,4493579,12
188,3/5/20,Little Cottonwood,Atwater Study Plot,UTLCAW,446048,4493579,12
189,3/12/20,Little Cottonwood,Atwater Study Plot,UTLCAW,446048,4493579,12
190,12/18/19,Mammoth Lakes,CUES Study Plot,CAMLCP,320984,4168173,11
191,1/22/20,Mammoth Lakes,CUES Study Plot,CAMLCP,320981,4168175,11
192,1/29/20,Mammoth Lakes,CUES Study Plot,CAMLCP,320983,4168174,11
193,2/6/20,Mammoth Lakes,CUES Study Plot,CAMLCP,320983,4168172,11
194,2/12/20,Mammoth Lakes,CUES Study Plot,CAMLCP,320984,4168170,11
195,2/19/20,Mammoth Lakes,CUES Study Plot,CAMLCP,320986,4168172,11
196,2/26/20,Mammoth Lakes,CUES Study Plot,CAMLCP,320988,4168164,11
197,3/4/20,Mammoth Lakes,CUES Study Plot,CAMLCP,320986,4168164,11
198,3/11/20,Mammoth Lakes,CUES Study Plot,CAMLCP,320986,4168164,11
199,12/18/19,Mammoth Lakes,Panorama Dome,CAMLPD,323463,4165497,11
200,1/24/20,Mammoth Lakes,Panorama Dome,CAMLPD,323469,4165498,11
201,1/29/20,Mammoth Lakes,Panorama Dome,CAMLPD,323467,4165497,11
202,2/5/20,Mammoth Lakes,Panorama Dome,CAMLPD,323469,4165496,11
203,2/12/20,Mammoth Lakes,Panorama Dome,CAMLPD,323469,4165496,11
204,2/19/20,Mammoth Lakes,Panorama Dome,CAMLPD,323469,4165491,11
205,12/18/19,Niwot Ridge,C1,CONWC1,453402,4431582,13
206,1/22/20,Niwot Ridge,C1,CONWC1,453402,4431582,13
207,1/29/20,Niwot Ridge,C1,CONWC1,453402,4431582,13
208,2/5/20,Niwot Ridge,C1,CONWC1,453402,4431582,13
209,2/12/20,Niwot Ridge,C1,CONWC1,453402,4431582,13
210,2/19/20,Niwot Ridge,C1,CONWC1,453402,4431582,13
211,2/26/20,Niwot Ridge,C1,CONWC1,453402,4431582,13
212,3/4/20,Niwot Ridge,C1,CONWC1,453402,4431582,13
213,3/11/20,Niwot Ridge,C1,CONWC1,453402,4431582,13
214,12/18/19,Niwot Ridge,Saddle,CONWSA,449623,4434025,13
215,1/29/20,Niwot Ridge,Saddle,CONWSA,449623,4434025,13
216,2/5/20,Niwot Ridge,Saddle,CONWSA,449623,4434025,13
217,2/12/20,Niwot Ridge,Saddle,CONWSA,449623,4434025,13
218,2/19/20,Niwot Ridge,Saddle,CONWSA,449623,4434025,13
219,2/26/20,Niwot Ridge,Saddle,CONWSA,449623,4434025,13
220,3/4/20,Niwot Ridge,Saddle,CONWSA,449623,4434025,13
221,12/20/19,Sagehen,Forest,CASHFO,737385,4368079,10
222,1/29/20,Sagehen,Forest,CASHFO,737385,4368079,10
223,2/12/20,Sagehen,Forest,CASHFO,737377,4368075,10
224,2/19/20,Sagehen,Forest,CASHFO,737377,4368075,10
225,2/26/20,Sagehen,Forest,CASHFO,737377,4368075,10
226,3/4/20,Sagehen,Forest,CASHFO,737377,4368075,10
227,3/11/20,Sagehen,Forest,CASHFO,737377,4368075,10
228,12/20/19,Sagehen,Open,CASHOP,737573,4368177,10
229,1/29/20,Sagehen,Open,CASHOP,737572,4368172,10
230,2/12/20,Sagehen,Open,CASHOP,737572,4368172,10
231,2/19/20,Sagehen,Open,CASHOP,737573,4368172,10
232,2/26/20,Sagehen,Open,CASHOP,737572,4368172,10
233,3/4/20,Sagehen,Open,CASHOP,737572,4368172,10
234,3/11/20,Sagehen,Open,CASHOP,737572,4368172,10
235,1/29/20,Sagehen,Tower 4,CASHT4,732507,4367108,10
236,2/12/20,Sagehen,Tower 4,CASHT4,732507,4367108,10
237,2/19/20,Sagehen,Tower 4,CASHT4,732507,4367108,10
238,2/26/20,Sagehen,Tower 4,CASHT4,732507,4367108,10
239,3/4/20,Sagehen,Tower 4,CASHT4,732507,4367108,10
240,3/11/20,Sagehen,Tower 4,CASHT4,732507,4367108,10
241,12/18/19,Senator Beck,Senator Beck Study Plot,COSBSB,260320,4199004,13
242,2/1/20,Senator Beck,Senator Beck Study Plot,COSBSB,260320,4199007,13
243,2/19/20,Senator Beck,Senator Beck Study Plot,COSBSB,260318,4199010,13
244,2/26/20,Senator Beck,Senator Beck Study Plot,COSBSB,260317,4199008,13
245,3/4/20,Senator Beck,Senator Beck Study Plot,COSBSB,260314,4199008,13
246,12/18/19,Senator Beck,Swamp Angel Study Plot,COSBSA,261642,4198978,13
247,1/22/20,Senator Beck,Swamp Angel Study Plot,COSBSA,261641,4198982,13
248,1/29/20,Senator Beck,Swamp Angel Study Plot,COSBSA,261641,4198982,13
249,2/12/20,Senator Beck,Swamp Angel Study Plot,COSBSA,261641,4198982,13
250,2/19/20,Senator Beck,Swamp Angel Study Plot,COSBSA,261641,4198976,13
251,2/26/20,Senator Beck,Swamp Angel Study Plot,COSBSA,261639,4198975,13
252,3/4/20,Senator Beck,Swamp Angel Study Plot,COSBSA,261639,4198975,13
253,3/11/20,Senator Beck,Swamp Angel Study Plot,COSBSA,261644,4198974,13
254,12/18/19,Upper Gunnison,Gothic,COUGGT,327538,4314145,13
255,1/17/20,Upper Gunnison,Gothic,COUGGT,327534,4314145,13
256,1/24/20,Upper Gunnison,Gothic,COUGGT,327546,4314138,13
257,1/29/20,Upper Gunnison,Gothic,COUGGT,327532,4314143,13
258,2/5/20,Upper Gunnison,Gothic,COUGGT,327527,4314130,13
259,2/12/20,Upper Gunnison,Gothic,COUGGT,327522,4314138,13
260,2/19/20,Upper Gunnison,Gothic,COUGGT,327522,4314138,13
261,2/26/20,Upper Gunnison,Gothic,COUGGT,327522,4314138,13
262,3/11/20,Upper Gunnison,Gothic,COUGGT,327534,4314138,13
263,12/19/19,Upper Gunnison,Irwin Barn,COUGIB,317172,4306473,13
264,1/17/20,Upper Gunnison,Irwin Barn,COUGIB,317172,4306473,13
265,1/22/20,Upper Gunnison,Irwin Barn,COUGIB,317172,4306473,13
266,1/29/20,Upper Gunnison,Irwin Barn,COUGIB,317172,4306473,13
267,2/5/20,Upper Gunnison,Irwin Barn,COUGIB,317172,4306473,13
268,2/12/20,Upper Gunnison,Irwin Barn,COUGIB,317172,4306473,13
269,2/19/20,Upper Gunnison,Irwin Barn,COUGIB,317172,4306473,13
270,2/26/20,Upper Gunnison,Irwin Barn,COUGIB,317172,4306473,13
271,3/12/20,Upper Gunnison,Irwin Barn,COUGIB,317172,4306473,13
272,4/8/20,Upper Gunnison,Irwin Barn,COUGIB,317172,4306473,13
273,4/22/20,Upper Gunnison,Irwin Barn,COUGIB,317172,4306473,13
274,5/6/20,Upper Gunnison,Irwin Barn,COUGIB,317172,4306473,13
275,5/20/20,Upper Gunnison,Irwin Barn,COUGIB,317172,4306473,13
