,Unnamed: 0,Date,Location,Site,PitID,Latitude,Longitude,UTME,UTMN,UTMzone
149,149,3/12/20,Grand Mesa,Skyway Open,COGMSO,39.04416370437469,-108.06202979439259,754269,4325786,12
150,150,3/21/20,Grand Mesa,Skyway Open,COGMSO,39.04492023711157,-108.06202153524556,754267,4325870,12
151,151,3/28/20,Grand Mesa,Skyway Open,COGMSO,39.04411783447058,-108.06199703865109,754272,4325781,12
152,152,1/22/20,Grand Mesa,Skyway Tree,COGMST,39.04495803464321,-108.06316367538867,754168,4325871,12
153,153,1/31/20,Grand Mesa,Skyway Tree,COGMST,39.04492087360715,-108.06311900505699,754172,4325867,12
154,154,2/12/20,Grand Mesa,Skyway Tree,COGMST,39.04492000108852,-108.063084383439,754175,4325867,12
155,155,2/19/20,Grand Mesa,Skyway Tree,COGMST,39.04493945412712,-108.06314134021699,754170,4325869,12
156,156,2/25/20,Grand Mesa,Skyway Tree,COGMST,39.04493945412712,-108.06314134021699,754170,4325869,12
157,157,3/12/20,Grand Mesa,Skyway Tree,COGMST,39.04495658046074,-108.06310597266031,754173,4325871,12
158,158,3/21/20,Grand Mesa,Skyway Tree,COGMST,39.04493830685071,-108.06345330785473,754143,4325868,12
159,159,3/28/20,Grand Mesa,Skyway Tree,COGMST,39.04487443845195,-108.06342129668664,754146,4325861,12
160,160,12/20/19,Jemez River,BA Flux Tower,NMJRBA,35.888579828112064,-106.5318041244988,361743,3972674,13
161,161,1/22/20,Jemez River,BA Flux Tower,NMJRBA,35.88858884099265,-106.53180429812518,361743,3972675,13
162,162,1/29/20,Jemez River,BA Flux Tower,NMJRBA,35.888597853873215,-106.53180447175166,361743,3972676,13
163,163,2/5/20,Jemez River,BA Flux Tower,NMJRBA,35.888624327357654,-106.53184929602409,361739,3972679,13
164,164,2/12/20,Jemez River,BA Flux Tower,NMJRBA,35.8885889822792,-106.53179322228186,361744,3972675,13
165,165,2/20/20,Jemez River,BA Flux Tower,NMJRBA,35.888569826197646,-106.53188148175605,361736,3972673,13
166,166,2/26/20,Jemez River,BA Flux Tower,NMJRBA,35.888569826197646,-106.53188148175605,361736,3972673,13
167,167,3/4/20,Jemez River,BA Flux Tower,NMJRBA,35.888605595127984,-106.5319043279872,361734,3972677,13
168,168,12/20/19,Jemez River,Headquarters Met Station,NMJRHQ,35.85792553723173,-106.52139113405212,362630,3969259,13
169,169,1/22/20,Jemez River,Headquarters Met Station,NMJRHQ,35.85792553723173,-106.52139113405212,362630,3969259,13
