,Identifier,PitID,Location,Site,Easting,Northing,Zone,Latitude,Longitude,Date,Local/Standard Time
150,COERGT_20200311_1025,COERGT,East River,Gothic,327534,4314138,13,38.95924,-106.99049,3/11,10:25:00
151,COERIB_20191219_1110,COERIB,East River,Irwin Barn,317172,4306473,13,38.88812,-107.10796,12/19,11:10:00
152,COERIB_20200117_1030,COERIB,East River,Irwin Barn,317172,4306473,13,38.88812,-107.10796,1/17,10:30:00
153,COERIB_20200122_1200,COERIB,East River,Irwin Barn,317172,4306473,13,38.88812,-107.10796,1/22,12:00:00
154,COERIB_20200129_1145,COERIB,East River,Irwin Barn,317172,4306473,13,38.88812,-107.10796,1/29,11:45:00
155,COERIB_20200205_1140,COERIB,East River,Irwin Barn,317172,4306473,13,38.88812,-107.10796,2/5,11:40:00
156,COERIB_20200212_1145,COERIB,East River,Irwin Barn,317172,4306473,13,38.88812,-107.10796,2/12,11:45:00
157,COERIB_20200219_1130,COERIB,East River,Irwin Barn,317172,4306473,13,38.88812,-107.10796,2/19,11:30:00
158,COERIB_20200226_1145,COERIB,East River,Irwin Barn,317172,4306473,13,38.88812,-107.10796,2/26,11:45:00
159,COERIB_20200312_0938,COERIB,East River,Irwin Barn,317172,4306473,13,38.88812,-107.10796,3/12,9:38:00
160,COERIB_20200408_1042,COERIB,East River,Irwin Barn,317172,4306473,13,38.88812,-107.10796,4/8,10:42:00
161,COERIB_20200422_1130,COERIB,East River,Irwin Barn,317172,4306473,13,38.88812,-107.10796,4/22,11:30:00
162,COERIB_20200506_1132,COERIB,East River,Irwin Barn,317172,4306473,13,38.88812,-107.10796,5/6,11:32:00
163,COERIB_20200520_0930,COERIB,East River,Irwin Barn,317172,4306473,13,38.88812,-107.10796,5/20,9:30:00
164,COERTR_20200202_1030,COERTR,East River,Trench 13,328570,4310775,13,38.92916,-106.9777,2/2,10:30:00
165,COERTR_20200202_1031,COERTR,East River,Trench 13,328570,4310777,13,38.92918,-106.9777,2/2,10:31:00
166,COERTR_20200202_1032,COERTR,East River,Trench 13,328570,4310779,13,38.9292,-106.9777,2/2,10:32:00
167,COERTR_20200202_1033,COERTR,East River,Trench 13,328570,4310781,13,38.92921,-106.9777,2/2,10:33:00
168,COERTR_20200202_1034,COERTR,East River,Trench 13,328570,4310783,13,38.92923,-106.9777,2/2,10:34:00
169,COERUP_20200202_1030,COERUP,East River,Upper,327522,4311264,13,38.93336,-106.9899,2/2,10:30:00
170,COERUP_20200202_1120,COERUP,East River,Upper,327520,4311258,13,38.9333,-106.98992,2/2,11:20:00
171,COERUP_20200202_1215,COERUP,East River,Upper,327535,4311240,13,38.93315,-106.98975,2/2,12:15:00
172,COERUP_20200226_1310,COERUP,East River,Upper,327519,4311257,13,38.9333,-106.98993,2/26,13:10:00
173,COERUP_20200226_1330,COERUP,East River,Upper,327525,4311259,13,38.93331,-106.98987,2/26,13:30:00
174,COERUP_20200226_1400,COERUP,East River,Upper,327528,4311272,13,38.93343,-106.98983,2/26,14:00:00
175,COERUP_20200429_1030,COERUP,East River,Upper,327510,4311262,13,38.93334,-106.99004,4/29,10:30:00
176,COERUP_20200429_1115,COERUP,East River,Upper,327507,4311265,13,38.93337,-106.99008,4/29,11:15:00
177,COERUP_20200429_1130,COERUP,East River,Upper,327509,4311262,13,38.93334,-106.99005,4/29,11:30:00
178,COERUP_20200512_0900,COERUP,East River,Upper,327514,4311256,13,38.93329,-106.98999,5/12,9:00:00
179,COERUP_20200512_0930,COERUP,East River,Upper,327513,4311257,13,38.93329,-106.99,5/12,9:30:00
180,COERUP_20200512_0945,COERUP,East River,Upper,327517,4311257,13,38.93329,-106.98996,5/12,9:45:00
181,COFEJ1_20191024_1243,COFEJ1,Fraser Experimental Forest,JPL 1,424541,4417657,13,39.90564,-105.88279,10/24,12:43:00
182,COFEJ1_20191029_1210,COFEJ1,Fraser Experimental Forest,JPL 1,424543,4417652,13,39.90559,-105.88277,10/29,12:10:00
183,COFEJ1_20191124_1112,COFEJ1,Fraser Experimental Forest,JPL 1,424540,4417648,13,39.90556,-105.8828,11/24,11:12:00
184,COFEJ1_20191203_1208,COFEJ1,Fraser Experimental Forest,JPL 1,424541,4417652,13,39.90559,-105.88279,12/3,12:08:00
185,COFEJ1_20191210_1158,COFEJ1,Fraser Experimental Forest,JPL 1,424539,4417650,13,39.90557,-105.88281,12/10,11:58:00
186,COFEJ1_20191216_1130,COFEJ1,Fraser Experimental Forest,JPL 1,424540,4417652,13,39.90559,-105.8828,12/16,11:30:00
187,COFEJ1_20191219_1100,COFEJ1,Fraser Experimental Forest,JPL 1,424539,4417647,13,39.90555,-105.88281,12/19,11:00:00
188,COFEJ1_20191223_1120,COFEJ1,Fraser Experimental Forest,JPL 1,424536,4417648,13,39.90556,-105.88285,12/23,11:20:00
189,COFEJ1_20191230_1115,COFEJ1,Fraser Experimental Forest,JPL 1,424539,4417648,13,39.90556,-105.88281,12/30,11:15:00
190,COFEJ1_20200104_1110,COFEJ1,Fraser Experimental Forest,JPL 1,424535,4417657,13,39.90564,-105.88286,1/4,11:10:00
191,COFEJ1_20200119_1040,COFEJ1,Fraser Experimental Forest,JPL 1,424537,4417650,13,39.90557,-105.88284,1/19,10:40:00
192,COFEJ1_20200124_1200,COFEJ1,Fraser Experimental Forest,JPL 1,424537,4417648,13,39.90556,-105.88284,1/24,12:00:00
193,COFEJ1_20200131_1030,COFEJ1,Fraser Experimental Forest,JPL 1,424537,4417652,13,39.90559,-105.88284,1/31,10:30:00
194,COFEJ1_20200205_1044,COFEJ1,Fraser Experimental Forest,JPL 1,424538,4417647,13,39.90555,-105.88283,2/5,10:44:00
195,COFEJ1_20200210_1300,COFEJ1,Fraser Experimental Forest,JPL 1,424538,4417646,13,39.90554,-105.88283,2/10,13:00:00
196,COFEJ1_20200212_1342,COFEJ1,Fraser Experimental Forest,JPL 1,424538,4417645,13,39.90553,-105.88283,2/12,13:42:00
197,COFEJ1_20200221_1105,COFEJ1,Fraser Experimental Forest,JPL 1,424539,4417645,13,39.90553,-105.88281,2/21,11:05:00
198,COFEJ1_20200226_1208,COFEJ1,Fraser Experimental Forest,JPL 1,424539,4417647,13,39.90555,-105.88281,2/26,12:08:00
